src	trg	weight
Marilyn Manson (band)	Pantera	2.0182612526971333
Marilyn Manson (band)	Slipknot (band)	2.0182612526971333
Marilyn Manson (band)	The Doors	2.0182612526971333
Marilyn Manson (band)	Muse (band)	2.0182612526971333
Marilyn Manson (band)	Slayer	2.0182612526971333
Marilyn Manson (band)	Ozzy Osbourne	2.0182612526971333
Marilyn Manson (band)	The Beatles	2.0182612526971333
Marilyn Manson (band)	Rammstein	2.0182612526971333
Marilyn Manson (band)	Nirvana (band)	2.0182612526971333
Marilyn Manson (band)	My Chemical Romance	2.0182612526971333
Meat Loaf	Van Morrison	1.7815542265017943
Meat Loaf	Ted Nugent	1.7815542265017943
Meat Loaf	Queen (band)	1.7815542265017943
Meat Loaf	Steve Vai	1.7815542265017943
Meat Loaf	Tenacious D	1.7815542265017943
Megadeth	Mötley Crüe	2.112075106217256
Megadeth	Ratt	2.112075106217256
Megadeth	Paul McCartney	2.112075106217256
Megadeth	White Zombie (band)	2.112075106217256
Megadeth	Volbeat	2.112075106217256
Megadeth	Queen (band)	2.112075106217256
Megadeth	Stone Temple Pilots	2.112075106217256
Megadeth	Ramones	2.112075106217256
Megadeth	Motörhead	2.112075106217256
Megadeth	Rush (band)	2.112075106217256
Megadeth	Rob Zombie	2.112075106217256
Megadeth	Trivium (band)	2.112075106217256
Megadeth	Pantera	2.112075106217256
Megadeth	Slipknot (band)	2.112075106217256
Megadeth	Sex Pistols	2.112075106217256
Megadeth	Slayer	2.112075106217256
Megadeth	Ozzy Osbourne	2.112075106217256
Megadeth	Metallica	2.112075106217256
Megadeth	Sum 41	2.112075106217256
Megadeth	Scorpions (band)	2.112075106217256
Megadeth	Sepultura	2.112075106217256
Megadeth	My Chemical Romance	2.112075106217256
Melissa Etheridge	Red Hot Chili Peppers	1.0955695396328213
Melissa Etheridge	The Rolling Stones	1.0955695396328213
Melissa Etheridge	Santana (band)	1.0955695396328213
Melissa Etheridge	Sheryl Crow	1.0955695396328213
Melissa Etheridge	Pat Benatar	1.0955695396328213
Melissa Etheridge	The Doobie Brothers	1.0955695396328213
Metallica	White Zombie (band)	8.398696614491183
Metallica	Volbeat	8.398696614491183
Metallica	The Offspring	8.398696614491183
Metallica	Queen (band)	8.398696614491183
Metallica	The Smashing Pumpkins	8.398696614491183
Metallica	Ramones	8.398696614491183
Metallica	Nickelback	8.398696614491183
Metallica	Motörhead	8.398696614491183
Metallica	Rob Zombie	8.398696614491183
Metallica	Pantera	8.398696614491183
Metallica	Slayer	8.398696614491183
Metallica	The Cult	8.398696614491183
Metallica	Papa Roach	8.398696614491183
Metallica	Scorpions (band)	8.398696614491183
Metallica	The Black Crowes	8.398696614491183
Metallica	Sam Fender	8.398696614491183
Metallica	Soundgarden	8.398696614491183
Metallica	Mudvayne	8.398696614491183
Metallica	Trivium (band)	8.398696614491183
Metallica	Red Hot Chili Peppers	8.398696614491183
Metallica	Shinedown	8.398696614491183
Metallica	Sum 41	8.398696614491183
Metallica	Queensrÿche	8.398696614491183
Metallica	Staind	8.398696614491183
Metallica	Tenacious D	8.398696614491183
Metallica	Pink Floyd	8.398696614491183
Metallica	Ozzy Osbourne	8.398696614491183
Metallica	Primus (band)	8.398696614491183
Metallica	Sepultura	8.398696614491183
Metallica	Mötley Crüe	8.398696614491183
Metallica	Ratt	8.398696614491183
Metallica	Weezer	8.398696614491183
Metallica	P.O.D.	8.398696614491183
Metallica	Twisted Sister	8.398696614491183
Metallica	rock music	8.398696614491183
Metallica	Skid Row (American band)	8.398696614491183
Metallica	Rush (band)	8.398696614491183
Metallica	Slipknot (band)	8.398696614491183
Metallica	Sex Pistols	8.398696614491183
Metallica	W.A.S.P. (band)	8.398696614491183
Metallica	Ted Nugent	8.398696614491183
Metallica	Thin Lizzy	8.398696614491183
Metallica	System of a Down	8.398696614491183
Metallica	My Chemical Romance	8.398696614491183
Midnight Oil	R.E.M.	2.523195907507533
Midnight Oil	U2	2.523195907507533
Midnight Oil	The Rolling Stones	2.523195907507533
Midnight Oil	Pearl Jam	2.523195907507533
Midnight Oil	The Killers	2.523195907507533
Midnight Oil	The Cranberries	2.523195907507533
Midnight Oil	Queen (band)	2.523195907507533
Midnight Oil	The Smashing Pumpkins	2.523195907507533
Midnight Oil	Scorpions (band)	2.523195907507533
Midnight Oil	Silverchair	2.523195907507533
Midnight Oil	The Tragically Hip	2.523195907507533
