src	trg	nij
Rainbow (rock band)	Status Quo (band)	2.052479563412639
Rainbow (rock band)	Roxy Music	2.052479563412639
Rainbow (rock band)	Slayer	2.052479563412639
Rammstein	T. Rex (band)	1.3526370316856964
Rammstein	Slipknot (band)	1.3526370316856964
Rammstein	System of a Down	1.3526370316856964
Ramones	Red Hot Chili Peppers	21.553499776952034
Ramones	Silverchair	21.553499776952034
Ramones	Soundgarden	21.553499776952034
Ramones	Rise Against	21.553499776952034
Ramones	The Jesus and Mary Chain	21.553499776952034
Ramones	Social Distortion	21.553499776952034
Ramones	The Kinks	21.553499776952034
Ramones	Talking Heads	21.553499776952034
Ramones	Rob Zombie	21.553499776952034
Ramones	The Who	21.553499776952034
Ramones	U2	21.553499776952034
Ramones	The Beach Boys	21.553499776952034
Ramones	The Monkees	21.553499776952034
Ramones	White Zombie (band)	21.553499776952034
Ramones	Roxy Music	21.553499776952034
Ramones	The Offspring	21.553499776952034
Ramones	The Black Keys	21.553499776952034
Ramones	The Byrds	21.553499776952034
Ramones	T. Rex (band)	21.553499776952034
Ramones	The Clash	21.553499776952034
Ramones	The Sweet	21.553499776952034
Ramones	Tool (band)	21.553499776952034
Ramones	Ritchie Valens	21.553499776952034
Ramones	Sepultura	21.553499776952034
Ramones	Ted Nugent	21.553499776952034
Ramones	Skid Row (American band)	21.553499776952034
Ramones	Sex Pistols	21.553499776952034
Ratt	Whitesnake	3.53473421379819
Ratt	Scorpions (band)	3.53473421379819
Ratt	The Sweet	3.53473421379819
Ratt	Van Halen	3.53473421379819
Ratt	Warrant (American band)	3.53473421379819
Ratt	Skid Row (American band)	3.53473421379819
Ratt	Slayer	3.53473421379819
Red Hot Chili Peppers	Yes (band)	26.938538452910905
Red Hot Chili Peppers	Silverchair	26.938538452910905
Red Hot Chili Peppers	The Rolling Stones	26.938538452910905
Red Hot Chili Peppers	Soundgarden	26.938538452910905
Red Hot Chili Peppers	Theory of a Deadman	26.938538452910905
Red Hot Chili Peppers	Stone Temple Pilots	26.938538452910905
Red Hot Chili Peppers	The Flaming Lips	26.938538452910905
Red Hot Chili Peppers	Santana (band)	26.938538452910905
Red Hot Chili Peppers	U2	26.938538452910905
Red Hot Chili Peppers	Tom Petty	26.938538452910905
Red Hot Chili Peppers	System of a Down	26.938538452910905
Red Hot Chili Peppers	Sly and the Family Stone	26.938538452910905
Red Hot Chili Peppers	Run-DMC	26.938538452910905
Red Hot Chili Peppers	Rush (band)	26.938538452910905
Red Hot Chili Peppers	The Everly Brothers	26.938538452910905
Red Hot Chili Peppers	The Smashing Pumpkins	26.938538452910905
Red Hot Chili Peppers	Sublime (band)	26.938538452910905
Ringo Starr	Sheryl Crow	9.82419919493045
Ringo Starr	Tom Petty and the Heartbreakers	9.82419919493045
Ringo Starr	Whitesnake	9.82419919493045
Ringo Starr	The Doobie Brothers	9.82419919493045
Ringo Starr	The Rolling Stones	9.82419919493045
Ringo Starr	The Beatles	9.82419919493045
Ringo Starr	The Band	9.82419919493045
Ringo Starr	Traveling Wilburys	9.82419919493045
Ringo Starr	T. Rex (band)	9.82419919493045
Ringo Starr	The Zombies	9.82419919493045
Ringo Starr	Tom Petty	9.82419919493045
Ringo Starr	Roy Orbison	9.82419919493045
Ringo Starr	The Mothers of Invention	9.82419919493045
Rise Against	The Clash	4.106132581093245
Rise Against	The Used	4.106132581093245
Rise Against	Social Distortion	4.106132581093245
Ritchie Valens	The Everly Brothers	1.7207132767971838
Ritchie Valens	The Beach Boys	1.7207132767971838
Ritchie Valens	The Big Bopper	1.7207132767971838
Rob Zombie	The Strokes	4.283048566138701
Rob Zombie	White Zombie (band)	4.283048566138701
Rob Zombie	Twisted Sister	4.283048566138701
Rob Zombie	Shinedown	4.283048566138701
Rob Zombie	Slayer	4.283048566138701
Rob Zombie	T. Rex (band)	4.283048566138701
Rob Zombie	Slade	4.283048566138701
Rob Zombie	Sepultura	4.283048566138701
Robert Plant	Sheryl Crow	5.91592724420953
Robert Plant	Stevie Ray Vaughan	5.91592724420953
Robert Plant	Yes (band)	5.91592724420953
Robert Plant	Whitesnake	5.91592724420953
Robert Plant	Thin Lizzy	5.91592724420953
Robert Plant	Roy Orbison	5.91592724420953
Robert Plant	Rush (band)	5.91592724420953
Robert Plant	The Everly Brothers	5.91592724420953
Robert Plant	Stone Temple Pilots	5.91592724420953
Robert Plant	The Pretty Reckless	5.91592724420953
Robert Plant	The Yardbirds	5.91592724420953
Robert Plant	The Moody Blues	5.91592724420953
Robert Plant	Van Halen	5.91592724420953
Rod Stewart	Stevie Nicks	13.926389197003155
Rod Stewart	Small Faces	13.926389197003155
Rod Stewart	Steppenwolf (band)	13.926389197003155
Rod Stewart	Steve Winwood	13.926389197003155
Rod Stewart	Thin Lizzy	13.926389197003155
Rod Stewart	The Rolling Stones	13.926389197003155
Rod Stewart	Van Morrison	13.926389197003155
Rod Stewart	Sting (musician)	13.926389197003155
Rod Stewart	The Kinks	13.926389197003155
Rod Stewart	The Yardbirds	13.926389197003155
Rod Stewart	The J. Geils Band	13.926389197003155
Rod Stewart	Santana (band)	13.926389197003155
Rod Stewart	Sex Pistols	13.926389197003155
Rod Stewart	Tom Petty	13.926389197003155
Roxy Music	Small Faces	18.252059864896243
Roxy Music	Yes (band)	18.252059864896243
Roxy Music	The Rolling Stones	18.252059864896243
Roxy Music	The Fixx	18.252059864896243
Roxy Music	Sly and the Family Stone	18.252059864896243
Roxy Music	Talking Heads	18.252059864896243
Roxy Music	The Velvet Underground	18.252059864896243
Roxy Music	Simple Minds	18.252059864896243
Roxy Music	Sex Pistols	18.252059864896243
Roxy Music	U2	18.252059864896243
Roy Orbison	The Rolling Stones	5.62874628627965
Roy Orbison	The Beatles	5.62874628627965
Roy Orbison	Traveling Wilburys	5.62874628627965
Roy Orbison	The Byrds	5.62874628627965
Roy Orbison	Simon & Garfunkel	5.62874628627965
Roy Orbison	Van Halen	5.62874628627965
Roy Orbison	Tom Petty	5.62874628627965
Roy Orbison	U2	5.62874628627965
Roy Orbison	The Beach Boys	5.62874628627965
Run-DMC	Slipknot (band)	3.7654099733655277
Run-DMC	Third Eye Blind	3.7654099733655277
Run-DMC	Smash Mouth	3.7654099733655277
Run-DMC	System of a Down	3.7654099733655277
Rush (band)	Yes (band)	26.482795398873503
Rush (band)	Supertramp	26.482795398873503
Rush (band)	Thin Lizzy	26.482795398873503
Rush (band)	Soundgarden	26.482795398873503
Rush (band)	Weezer	26.482795398873503
Rush (band)	Stone Temple Pilots	26.482795398873503
Rush (band)	The Yardbirds	26.482795398873503
Rush (band)	Simple Minds	26.482795398873503
Rush (band)	U2	26.482795398873503
Rush (band)	System of a Down	26.482795398873503
Rush (band)	The Police	26.482795398873503
Rush (band)	The Outfield	26.482795398873503
Rush (band)	The Tragically Hip	26.482795398873503
Rush (band)	Thirty Seconds to Mars	26.482795398873503
Rush (band)	Slayer	26.482795398873503
Rush (band)	Tool (band)	26.482795398873503
Rush (band)	Uriah Heep (band)	26.482795398873503
Rush (band)	The Doors	26.482795398873503
Rush (band)	Sepultura	26.482795398873503
Saliva (band)	Saving Abel	1.4188962178548297
Saliva (band)	Shinedown	1.4188962178548297
Sam Fender	Sting (musician)	5.649428704413808
Sam Fender	The Rolling Stones	5.649428704413808
Sam Fender	Talking Heads	5.649428704413808
Sam Fender	Tracy Chapman	5.649428704413808
Sam Fender	The Beatles	5.649428704413808
Sam Fender	Steely Dan	5.649428704413808
Sam Fender	The Jam	5.649428704413808
Sam Fender	The Killers	5.649428704413808
Sam Fender	The Who	5.649428704413808
Santana (band)	The Doobie Brothers	6.195942717064098
Santana (band)	Van Halen	6.195942717064098
Santana (band)	Toto (band)	6.195942717064098
Santana (band)	The Who	6.195942717064098
Santana (band)	The Fray	6.195942717064098
Scorpions (band)	Whitesnake	3.147885437119506
Scorpions (band)	Twisted Sister	3.147885437119506
Scorpions (band)	Slayer	3.147885437119506
Scorpions (band)	Uriah Heep (band)	3.147885437119506
Scorpions (band)	Sepultura	3.147885437119506
Scorpions (band)	Skid Row (American band)	3.147885437119506
Scorpions (band)	System of a Down	3.147885437119506
Seether	Skillet (band)	2.259363432942026
Seether	Staind	2.259363432942026
Seether	Starset	2.259363432942026
Seether	Three Days Grace	2.259363432942026
Seether	Shinedown	2.259363432942026
Sepultura	Trivium (band)	2.5747940466703083
Sepultura	Yes (band)	2.5747940466703083
Sepultura	White Zombie (band)	2.5747940466703083
Sepultura	Whitesnake	2.5747940466703083
Sepultura	System of a Down	2.5747940466703083
Sepultura	Twisted Sister	2.5747940466703083
Sepultura	Slayer	2.5747940466703083
Sepultura	Slipknot (band)	2.5747940466703083
Sepultura	Van Halen	2.5747940466703083
Sepultura	Staind	2.5747940466703083
Sepultura	Sex Pistols	2.5747940466703083
Sepultura	U2	2.5747940466703083
Sex Pistols	Thin Lizzy	20.3529672839887
Sex Pistols	Velvet Revolver	20.3529672839887
Sex Pistols	The Stone Roses	20.3529672839887
Sex Pistols	Slade	20.3529672839887
Sex Pistols	U2	20.3529672839887
Sex Pistols	The Monkees	20.3529672839887
Sex Pistols	Small Faces	20.3529672839887
Sex Pistols	The Offspring	20.3529672839887
Sex Pistols	T. Rex (band)	20.3529672839887
Sex Pistols	The Clash	20.3529672839887
Sex Pistols	The Pretenders	20.3529672839887
Sex Pistols	Tool (band)	20.3529672839887
Sex Pistols	Van Halen	20.3529672839887
Sex Pistols	The Jam	20.3529672839887
Sex Pistols	Skid Row (American band)	20.3529672839887
Sheryl Crow	Stevie Nicks	6.0356258060988495
Sheryl Crow	Sting (musician)	6.0356258060988495
Sheryl Crow	The Doobie Brothers	6.0356258060988495
Sheryl Crow	The Beatles	6.0356258060988495
Sheryl Crow	Steely Dan	6.0356258060988495
Shinedown	Skillet (band)	7.563531093790382
Shinedown	Soundgarden	7.563531093790382
Shinedown	The Cult	7.563531093790382
Shinedown	Starset	7.563531093790382
Shinedown	Three Days Grace	7.563531093790382
Shinedown	Theory of a Deadman	7.563531093790382
Shinedown	Stone Temple Pilots	7.563531093790382
Shinedown	The Pretty Reckless	7.563531093790382
Shinedown	The Doors	7.563531093790382
Shinedown	Van Halen	7.563531093790382
Shinedown	Staind	7.563531093790382
Silverchair	Tool (band)	2.202490980126846
Silverchair	The Doors	2.202490980126846
Silverchair	The Beatles	2.202490980126846
Silverchair	Soundgarden	2.202490980126846
Silverchair	The Offspring	2.202490980126846
